dcid,year,n_days_extreme_2014
geoId/02013,2014,7.0
geoId/02016,2014,2.5
geoId/02020,2014,0.0
geoId/02122,2014,0.0
geoId/02130,2014,0.0
geoId/02150,2014,0.0
geoId/02180,2014,57.0
geoId/02220,2014,0.0
geoId/02230,2014,0.0
geoId/02282,2014,0.0
geoId/06001,2014,0.0
geoId/06013,2014,0.5
geoId/06015,2014,0.0
geoId/06023,2014,0.0
geoId/06037,2014,0.0
geoId/06045,2014,3.0
geoId/06053,2014,1.0
geoId/06073,2014,1.0
geoId/06075,2014,0.0
geoId/06079,2014,1.0
geoId/06081,2014,0.0
geoId/09001,2014,0.0
geoId/09009,2014,0.0
geoId/09011,2014,23.0
geoId/10003,2014,0.0
geoId/10005,2014,4.0
geoId/12005,2014,31.0
geoId/12009,2014,12.0
geoId/12033,2014,31.0
geoId/12037,2014,28.0
geoId/12075,2014,15.0
geoId/12081,2014,20.0
geoId/12086,2014,10.0
geoId/12087,2014,48.5
geoId/12089,2014,2.0
geoId/12103,2014,25.0
geoId/13051,2014,2.0
geoId/15001,2014,43.5
geoId/15003,2014,47.0
geoId/15007,2014,66.0
geoId/15009,2014,18.0
geoId/22051,2014,38.0
geoId/23005,2014,0.0
geoId/23029,2014,0.0
geoId/24003,2014,24.0
geoId/24009,2014,26.0
geoId/24019,2014,21.0
geoId/24029,2014,28.0
geoId/25001,2014,89.0
geoId/25005,2014,5.0
geoId/25019,2014,15.0
geoId/25025,2014,0.0
geoId/34001,2014,5.0
geoId/34009,2014,1.0
geoId/34025,2014,2.0
geoId/36059,2014,0.0
geoId/36061,2014,2.0
geoId/36085,2014,1.0
geoId/36103,2014,42.0
geoId/37031,2014,8.0
geoId/37055,2014,41.5
geoId/37129,2014,3.0
geoId/41007,2014,0.0
geoId/41011,2014,0.0
geoId/41041,2014,0.0
geoId/42101,2014,0.0
geoId/44003,2014,6.0
geoId/44005,2014,6.0
geoId/44007,2014,8.0
geoId/44009,2014,6.0
geoId/45019,2014,2.0
geoId/48007,2014,28.0
geoId/48061,2014,17.0
geoId/48167,2014,32.0
geoId/48201,2014,27.0
geoId/51103,2014,42.0
geoId/51133,2014,27.0
geoId/53009,2014,0.0
geoId/53031,2014,0.0
geoId/53033,2014,0.0
geoId/53049,2014,3.0
geoId/53053,2014,0.0
geoId/53055,2014,0.0
geoId/53073,2014,0.0
